ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
Unknown,5TDESKFC0SS154611,2025,Sienna Platinum,DealerHold,False,At dealer,62059,Wind Chill Pearl [extra_cost_color],Black&nbsp;leather-trimmed,11,Baierl Toyota,https://www.baierltoyota.com,True,"1500W inverter [120v_cargo] | 50 State Emissions | Body Side Moldings[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Platinum Package | Premium Paint | Quick Charging Cable Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp]"
2024-11-02,5TDESKFC0SS155807,2025,Sienna Platinum,DealerHold,True,Port to dealer,61125,Magnetic Gray Metallic,Black&nbsp;leather-trimmed,9,Rohrich Toyota,https://www.rohrichtoyota.com,True,1500W inverter [120v_cargo] | 50 State Emissions | Alloy Wheel Locks[installed_msrp] | Cargo Tray[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Platinum Package | Quick Charging Cable Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
2024-11-21,5TDESKFC0SS44D783,2025,Sienna Platinum,DealerHold,False,Factory to port,61205,Wind Chill Pearl [extra_cost_color],Black&nbsp;leather-trimmed,38,Preston Toyota,https://www.prestontoyota.com,True,1500W inverter [120v_cargo] | 50 State Emissions | Body Side Moldings[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Platinum Package | Premium Paint | Roof Rack Cross Bars[installed_msrp]
2024-12-10,5TDESKFC0SS48B627,2025,Sienna Platinum,DealerHold,False,Factory to port,61234,Ruby Flare Pearl [extra_cost_color],Macadamia&nbsp;leather-trimmed,77,Dan Cava's Toyota World,https://www.cavatoyota.com,True,1500W inverter [120v_cargo] | 50 State Emissions | Cargo Net with Pouch[installed_msrp] | Cargo Organizer[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Door Sill Protectors[installed_msrp] | Entertainment Package | Mudguards | Platinum Package | Premium Paint
2024-10-25,5TDESKFC1SS156268,2025,Sienna Platinum,DealerHold,False,At dealer,61744,Wind Chill Pearl [extra_cost_color],Black&nbsp;leather-trimmed,87,Ken Ganley Toyota Akron,https://www.kenganleytoyotaakron.com,True,1500W inverter [120v_cargo] | 50 State Emissions | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Integrated Dashcam[installed_msrp] | Platinum Package | Premium Paint | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
2024-11-18,5TDESKFC1SS43C887,2025,Sienna Platinum,DealerHold,True,Factory to port,60884,Wind Chill Pearl [extra_cost_color],Black&nbsp;leather-trimmed,61,Toyota of Warren,https://www.toyotaofwarren.com,True,1500W inverter [120v_cargo] | 50 State Emissions | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | PRO CARE | Platinum Package | Premium Paint | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp]
2024-11-25,5TDESKFC1SS45D190,2025,Sienna Platinum,DealerHold,False,Factory to port,61299,Ruby Flare Pearl [extra_cost_color],Black&nbsp;leather-trimmed,61,Toyota of Warren,https://www.toyotaofwarren.com,True,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather Liners for  Vacuum and FridgeBox™ Package models[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Mudguards | PRO CARE | Platinum Package | Premium Paint | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp]
2024-12-06,5TDESKFC1SS46C505,2025,Sienna Platinum,,False,Factory to port,62008,Wind Chill Pearl [extra_cost_color],Black&nbsp;leather-trimmed,9,Rohrich Toyota,https://www.rohrichtoyota.com,True,"1500W inverter [120v_cargo] | 50 State Emissions | Body Side Moldings[installed_msrp] | Cargo Tray[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Mudguards | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Platinum Package | Premium Paint | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp]"
2024-10-25,5TDESKFC2SS156277,2025,Sienna Platinum,DealerHold,False,At dealer,61369,Blueprint,Black&nbsp;leather-trimmed,79,Toyota of North Canton,https://www.toyotaofnorthcanton.com,False,1500W inverter [120v_cargo] | 50 State Emissions | Body Side Moldings[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Mudguards | Platinum Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
2024-10-29,5TDESKFC3SS155820,2025,Sienna Platinum,DealerHold,False,Port to dealer,61637,Blueprint,Black&nbsp;leather-trimmed,11,Baierl Toyota,https://www.baierltoyota.com,True,"1500W inverter [120v_cargo] | 50 State Emissions | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | Cargo Organizer[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Platinum Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp]"
